,accession,hit_id,hit_def,expect,score,positives,gaps
366,7881,gnl|BL_ORD_ID|7881,gi|7297995|gb|AAF53237.1| (AE003638) CG5092 gene product [Drosophila melanogaster],0.0,4207.0,1332,130
1175,6771,gnl|BL_ORD_ID|6771,gi|10727150|gb|AAF51927.2| (AE003601) Rm62 gene product [alt 1] [Drosophila melanogaster],0.0,1373.0,316,3
1176,6773,gnl|BL_ORD_ID|6773,gi|7296646|gb|AAF51926.1| (AE003601) Rm62 gene product [alt 3] [Drosophila melanogaster],0.0,1372.0,316,3
1177,6772,gnl|BL_ORD_ID|6772,gi|10727151|gb|AAG22212.1| (AE003601) Rm62 gene product [alt 2] [Drosophila melanogaster],0.0,1372.0,316,3
1178,6774,gnl|BL_ORD_ID|6774,gi|10727152|gb|AAG22213.1| (AE003601) Rm62 gene product [alt 4] [Drosophila melanogaster],0.0,1369.0,316,3
1499,8880,gnl|BL_ORD_ID|8880,gi|7299019|gb|AAF54221.1| (AE003678) CG7483 gene product [Drosophila melanogaster],0.0,1351.0,320,3
463,8880,gnl|BL_ORD_ID|8880,gi|7299019|gb|AAF54221.1| (AE003678) CG7483 gene product [Drosophila melanogaster],0.0,1345.0,320,2
425,8880,gnl|BL_ORD_ID|8880,gi|7299019|gb|AAF54221.1| (AE003678) CG7483 gene product [Drosophila melanogaster],0.0,1345.0,320,2
1179,859,gnl|BL_ORD_ID|859,gi|7290853|gb|AAF46295.1| (AE003442) CG10777 gene product [Drosophila melanogaster],6.95591e-172,1312.0,332,20
1238,13193,gnl|BL_ORD_ID|13193,gi|7303207|gb|AAF58270.1| (AE003815) Hsc70-5 gene product [Drosophila melanogaster],5.29771e-172,1298.0,396,26
1783,13193,gnl|BL_ORD_ID|13193,gi|7303207|gb|AAF58270.1| (AE003815) Hsc70-5 gene product [Drosophila melanogaster],6.64999e-172,1297.0,397,26
426,6954,gnl|BL_ORD_ID|6954,gi|7297048|gb|AAF52317.1| (AE003612) eIF-4a gene product [Drosophila melanogaster],2.61778e-179,1295.0,319,1
464,6954,gnl|BL_ORD_ID|6954,gi|7297048|gb|AAF52317.1| (AE003612) eIF-4a gene product [Drosophila melanogaster],2.61778e-179,1295.0,319,1
78,5538,gnl|BL_ORD_ID|5538,gi|7295511|gb|AAF50824.1| (AE003568) waw gene product [Drosophila melanogaster],1.4836e-167,1271.0,390,38
1816,3366,gnl|BL_ORD_ID|3366,gi|7293369|gb|AAF48747.1| (AE003506) CG5800 gene product [Drosophila melanogaster],3.79976e-153,1197.0,322,13
1303,287,gnl|BL_ORD_ID|287,gi|7290283|gb|AAF45744.1| (AE003423) Nmd3 gene product [Drosophila melanogaster],6.54962e-158,1180.0,324,39
509,8611,gnl|BL_ORD_ID|8611,gi|7298752|gb|AAF53963.1| (AE003669) CG9253 gene product [Drosophila melanogaster],4.29295e-155,1158.0,310,8
1500,6954,gnl|BL_ORD_ID|6954,gi|7297048|gb|AAF52317.1| (AE003612) eIF-4a gene product [Drosophila melanogaster],6.35519e-158,1155.0,294,3
248,8083,gnl|BL_ORD_ID|8083,gi|7298204|gb|AAF53438.1| (AE003646) vas gene product [Drosophila melanogaster],1.23867e-142,1099.0,302,24
832,3665,gnl|BL_ORD_ID|3665,gi|7295492|gb|AAF50806.1| (AE003567) Srp54k gene product [Drosophila melanogaster],1.38832e-144,1092.0,309,18
4,1955,gnl|BL_ORD_ID|1955,gi|7291960|gb|AAF47376.1| (AE003468) CG6994 gene product [Drosophila melanogaster],3.33594e-127,1074.0,395,129
94,12321,gnl|BL_ORD_ID|12321,gi|7304081|gb|AAF59119.1| (AE003838) BcDNA:GM05306 gene product [Drosophila melanogaster],5.72573e-135,1071.0,324,20
843,8083,gnl|BL_ORD_ID|8083,gi|7298204|gb|AAF53438.1| (AE003646) vas gene product [Drosophila melanogaster],2.63217e-136,1058.0,300,30
581,5677,gnl|BL_ORD_ID|5677,gi|7296187|gb|AAF51479.1| (AE003589) Nle gene product [Drosophila melanogaster],5.80678e-140,1057.0,308,28
1180,8851,gnl|BL_ORD_ID|8851,gi|7298989|gb|AAF54192.1| (AE003677) CG7878 gene product [Drosophila melanogaster],1.31917e-133,1037.0,297,21
1345,5321,gnl|BL_ORD_ID|5321,gi|7293774|gb|AAF49142.1| (AE003516) CG9330 gene product [Drosophila melanogaster],2.77276e-130,1021.0,334,10
837,1653,gnl|BL_ORD_ID|1653,gi|7291652|gb|AAF47074.1| (AE003462) bgcn gene product [Drosophila melanogaster],1.22965e-138,996.0,212,0
1102,5084,gnl|BL_ORD_ID|5084,gi|7294027|gb|AAF49383.1| (AE003525) CG7728 gene product [Drosophila melanogaster],2.74162e-115,990.0,332,31
1346,2679,gnl|BL_ORD_ID|2679,gi|7292671|gb|AAF48069.1| (AE003486) CG1703 gene product [Drosophila melanogaster],2.75214e-120,968.0,332,20
1103,5084,gnl|BL_ORD_ID|5084,gi|7294027|gb|AAF49383.1| (AE003525) CG7728 gene product [Drosophila melanogaster],1.00823e-110,957.0,259,33
1181,4333,gnl|BL_ORD_ID|4333,gi|7294797|gb|AAF50131.1| (AE003547) CG6418 gene product [alt 2] [Drosophila melanogaster],6.83473e-120,951.0,286,13
1182,3064,gnl|BL_ORD_ID|3064,gi|7293060|gb|AAF48446.1| (AE003498) CG6227 gene product [Drosophila melanogaster],2.35659e-111,918.0,268,15
288,3064,gnl|BL_ORD_ID|3064,gi|7293060|gb|AAF48446.1| (AE003498) CG6227 gene product [Drosophila melanogaster],1.35239e-107,917.0,325,56
1388,8327,gnl|BL_ORD_ID|8327,gi|7298459|gb|AAF53680.1| (AE003659) CG10333 gene product [Drosophila melanogaster],2.73896e-112,904.0,296,75
1213,5002,gnl|BL_ORD_ID|5002,gi|7294107|gb|AAF49461.1| (AE003527) CG4638 gene product [Drosophila melanogaster],1.69898e-105,898.0,276,36
848,3831,gnl|BL_ORD_ID|3831,gi|7295314|gb|AAF50635.1| (AE003560) CG10077 gene product [Drosophila melanogaster],1.13618e-108,883.0,256,18
1183,8919,gnl|BL_ORD_ID|8919,gi|7299061|gb|AAF54262.1| (AE003679) CG9748 gene product [Drosophila melanogaster],5.38353e-109,878.0,258,19
845,6773,gnl|BL_ORD_ID|6773,gi|7296646|gb|AAF51926.1| (AE003601) Rm62 gene product [alt 3] [Drosophila melanogaster],4.09763e-110,875.0,252,21
846,6771,gnl|BL_ORD_ID|6771,gi|10727150|gb|AAF51927.2| (AE003601) Rm62 gene product [alt 1] [Drosophila melanogaster],4.35252e-110,875.0,252,21
847,6772,gnl|BL_ORD_ID|6772,gi|10727151|gb|AAG22212.1| (AE003601) Rm62 gene product [alt 2] [Drosophila melanogaster],4.84344e-110,875.0,252,21
844,6774,gnl|BL_ORD_ID|6774,gi|10727152|gb|AAG22213.1| (AE003601) Rm62 gene product [alt 4] [Drosophila melanogaster],3.68413e-110,875.0,252,21
1852,3831,gnl|BL_ORD_ID|3831,gi|7295314|gb|AAF50635.1| (AE003560) CG10077 gene product [Drosophila melanogaster],2.28893e-107,866.0,264,14
249,3831,gnl|BL_ORD_ID|3831,gi|7295314|gb|AAF50635.1| (AE003560) CG10077 gene product [Drosophila melanogaster],4.21519e-106,864.0,277,35
422,12456,gnl|BL_ORD_ID|12456,gi|7303942|gb|AAF58986.1| (AE003834) CG8070 gene product [Drosophila melanogaster],1.01978e-104,857.0,377,111
1817,10630,gnl|BL_ORD_ID|10630,gi|7300808|gb|AAF55951.1| (AE003737) pit gene product [Drosophila melanogaster],3.73677e-102,840.0,276,12
250,6774,gnl|BL_ORD_ID|6774,gi|10727152|gb|AAG22213.1| (AE003601) Rm62 gene product [alt 4] [Drosophila melanogaster],5.30411e-104,833.0,243,20
251,6771,gnl|BL_ORD_ID|6771,gi|10727150|gb|AAF51927.2| (AE003601) Rm62 gene product [alt 1] [Drosophila melanogaster],7.25295e-104,832.0,243,20
253,6772,gnl|BL_ORD_ID|6772,gi|10727151|gb|AAG22212.1| (AE003601) Rm62 gene product [alt 2] [Drosophila melanogaster],1.1719e-103,831.0,243,20
252,6773,gnl|BL_ORD_ID|6773,gi|7296646|gb|AAF51926.1| (AE003601) Rm62 gene product [alt 3] [Drosophila melanogaster],8.73326e-104,831.0,243,20
1853,6771,gnl|BL_ORD_ID|6771,gi|10727150|gb|AAF51927.2| (AE003601) Rm62 gene product [alt 1] [Drosophila melanogaster],1.40406e-104,830.0,252,14
1855,6774,gnl|BL_ORD_ID|6774,gi|10727152|gb|AAG22213.1| (AE003601) Rm62 gene product [alt 4] [Drosophila melanogaster],1.88924e-104,829.0,252,14
1854,6773,gnl|BL_ORD_ID|6773,gi|7296646|gb|AAF51926.1| (AE003601) Rm62 gene product [alt 3] [Drosophila melanogaster],1.86335e-104,829.0,252,14
1856,6772,gnl|BL_ORD_ID|6772,gi|10727151|gb|AAG22212.1| (AE003601) Rm62 gene product [alt 2] [Drosophila melanogaster],1.97777e-104,829.0,252,14
849,859,gnl|BL_ORD_ID|859,gi|7290853|gb|AAF46295.1| (AE003442) CG10777 gene product [Drosophila melanogaster],1.26452e-97,815.0,274,44
547,8867,gnl|BL_ORD_ID|8867,gi|7299006|gb|AAF54208.1| (AE003678) CG9630 gene product [Drosophila melanogaster],1.57334e-100,812.0,301,52
1304,12448,gnl|BL_ORD_ID|12448,gi|7303950|gb|AAF58994.1| (AE003834) Dbp45A gene product [Drosophila melanogaster],3.84505e-103,807.0,251,19
1740,8880,gnl|BL_ORD_ID|8880,gi|7299019|gb|AAF54221.1| (AE003678) CG7483 gene product [Drosophila melanogaster],3.12458e-103,804.0,227,2
1184,8083,gnl|BL_ORD_ID|8083,gi|7298204|gb|AAF53438.1| (AE003646) vas gene product [Drosophila melanogaster],1.74207e-99,804.0,274,35
254,8851,gnl|BL_ORD_ID|8851,gi|7298989|gb|AAF54192.1| (AE003677) CG7878 gene product [Drosophila melanogaster],6.96658e-97,794.0,289,45
255,859,gnl|BL_ORD_ID|859,gi|7290853|gb|AAF46295.1| (AE003442) CG10777 gene product [Drosophila melanogaster],1.69116e-94,792.0,272,37
850,8851,gnl|BL_ORD_ID|8851,gi|7298989|gb|AAF54192.1| (AE003677) CG7878 gene product [Drosophila melanogaster],5.10186e-96,789.0,252,26
290,4333,gnl|BL_ORD_ID|4333,gi|7294797|gb|AAF50131.1| (AE003547) CG6418 gene product [alt 2] [Drosophila melanogaster],1.50095e-90,774.0,280,42
1186,8327,gnl|BL_ORD_ID|8327,gi|7298459|gb|AAF53680.1| (AE003659) CG10333 gene product [Drosophila melanogaster],2.20129e-93,772.0,241,33
1251,3366,gnl|BL_ORD_ID|3366,gi|7293369|gb|AAF48747.1| (AE003506) CG5800 gene product [Drosophila melanogaster],7.53874e-94,771.0,273,28
256,6528,gnl|BL_ORD_ID|6528,gi|7296891|gb|AAF52165.1| (AE003607) abs gene product [Drosophila melanogaster],1.82009e-93,765.0,235,26
1185,6528,gnl|BL_ORD_ID|6528,gi|7296891|gb|AAF52165.1| (AE003607) abs gene product [Drosophila melanogaster],8.20611e-94,762.0,247,28
1857,859,gnl|BL_ORD_ID|859,gi|7290853|gb|AAF46295.1| (AE003442) CG10777 gene product [Drosophila melanogaster],3.16616e-91,762.0,259,25
291,3831,gnl|BL_ORD_ID|3831,gi|7295314|gb|AAF50635.1| (AE003560) CG10077 gene product [Drosophila melanogaster],1.45265e-88,761.0,260,26
1296,6440,gnl|BL_ORD_ID|6440,gi|7296522|gb|AAF51807.1| (AE003596) RpP0 gene product [Drosophila melanogaster],1.48331e-99,753.0,218,3
327,13980,gnl|BL_ORD_ID|13980,gi|7302399|gb|AAF57487.1| (AE003792) CG9143 gene product [Drosophila melanogaster],7.95083e-88,751.0,331,139
1501,7524,gnl|BL_ORD_ID|7524,gi|7297629|gb|AAF52881.1| (AE003628) me31B gene product [Drosophila melanogaster],8.1635e-96,750.0,237,6
1741,6954,gnl|BL_ORD_ID|6954,gi|7297048|gb|AAF52317.1| (AE003612) eIF-4a gene product [Drosophila melanogaster],4.16962e-95,749.0,231,2
1858,8851,gnl|BL_ORD_ID|8851,gi|7298989|gb|AAF54192.1| (AE003677) CG7878 gene product [Drosophila melanogaster],7.97815e-91,746.0,233,15
851,6528,gnl|BL_ORD_ID|6528,gi|7296891|gb|AAF52165.1| (AE003607) abs gene product [Drosophila melanogaster],4.98975e-90,742.0,231,19
1859,4333,gnl|BL_ORD_ID|4333,gi|7294797|gb|AAF50131.1| (AE003547) CG6418 gene product [alt 2] [Drosophila melanogaster],2.17822e-89,742.0,254,18
1305,8611,gnl|BL_ORD_ID|8611,gi|7298752|gb|AAF53963.1| (AE003669) CG9253 gene product [Drosophila melanogaster],1.97788e-93,741.0,232,21
852,4333,gnl|BL_ORD_ID|4333,gi|7294797|gb|AAF50131.1| (AE003547) CG6418 gene product [alt 2] [Drosophila melanogaster],9.30098e-87,731.0,243,18
386,3346,gnl|BL_ORD_ID|3346,gi|7293348|gb|AAF48727.1| (AE003505) BcDNA:GH02833 gene product [Drosophila melanogaster],5.52142e-84,730.0,302,92
465,7524,gnl|BL_ORD_ID|7524,gi|7297629|gb|AAF52881.1| (AE003628) me31B gene product [Drosophila melanogaster],6.44551e-93,730.0,224,3
427,7524,gnl|BL_ORD_ID|7524,gi|7297629|gb|AAF52881.1| (AE003628) me31B gene product [Drosophila melanogaster],6.44551e-93,730.0,224,3
257,4333,gnl|BL_ORD_ID|4333,gi|7294797|gb|AAF50131.1| (AE003547) CG6418 gene product [alt 2] [Drosophila melanogaster],9.32706e-87,730.0,242,26
195,8880,gnl|BL_ORD_ID|8880,gi|7299019|gb|AAF54221.1| (AE003678) CG7483 gene product [Drosophila melanogaster],1.3004e-91,724.0,244,14
510,12448,gnl|BL_ORD_ID|12448,gi|7303950|gb|AAF58994.1| (AE003834) Dbp45A gene product [Drosophila melanogaster],3.71486e-89,720.0,245,13
293,6774,gnl|BL_ORD_ID|6774,gi|10727152|gb|AAG22213.1| (AE003601) Rm62 gene product [alt 4] [Drosophila melanogaster],1.15476e-82,704.0,247,29
292,6771,gnl|BL_ORD_ID|6771,gi|10727150|gb|AAF51927.2| (AE003601) Rm62 gene product [alt 1] [Drosophila melanogaster],1.13881e-82,704.0,247,29
1860,8919,gnl|BL_ORD_ID|8919,gi|7299061|gb|AAF54262.1| (AE003679) CG9748 gene product [Drosophila melanogaster],8.90904e-84,703.0,237,23
294,6773,gnl|BL_ORD_ID|6773,gi|7296646|gb|AAF51926.1| (AE003601) Rm62 gene product [alt 3] [Drosophila melanogaster],1.69423e-82,703.0,247,29
295,6772,gnl|BL_ORD_ID|6772,gi|10727151|gb|AAG22212.1| (AE003601) Rm62 gene product [alt 2] [Drosophila melanogaster],2.36485e-82,702.0,247,29
95,8611,gnl|BL_ORD_ID|8611,gi|7298752|gb|AAF53963.1| (AE003669) CG9253 gene product [Drosophila melanogaster],2.33554e-83,698.0,228,18
296,859,gnl|BL_ORD_ID|859,gi|7290853|gb|AAF46295.1| (AE003442) CG10777 gene product [Drosophila melanogaster],1.67474e-78,696.0,242,21
258,8327,gnl|BL_ORD_ID|8327,gi|7298459|gb|AAF53680.1| (AE003659) CG10333 gene product [Drosophila melanogaster],1.49674e-81,695.0,222,31
854,3064,gnl|BL_ORD_ID|3064,gi|7293060|gb|AAF48446.1| (AE003498) CG6227 gene product [Drosophila melanogaster],5.68381e-79,692.0,231,18
1861,3064,gnl|BL_ORD_ID|3064,gi|7293060|gb|AAF48446.1| (AE003498) CG6227 gene product [Drosophila melanogaster],9.06043e-80,690.0,250,19
853,8327,gnl|BL_ORD_ID|8327,gi|7298459|gb|AAF53680.1| (AE003659) CG10333 gene product [Drosophila melanogaster],1.10005e-80,689.0,223,27
1215,11913,gnl|BL_ORD_ID|11913,gi|10726341|gb|AAG22125.1| (AE003781) Ef2b gene product [alt 1] [Drosophila melanogaster],1.4588e-77,687.0,225,52
1217,11914,gnl|BL_ORD_ID|11914,gi|7302127|gb|AAF57226.1| (AE003781) Ef2b gene product [alt 2] [Drosophila melanogaster],1.44555e-76,687.0,225,52
259,3064,gnl|BL_ORD_ID|3064,gi|7293060|gb|AAF48446.1| (AE003498) CG6227 gene product [Drosophila melanogaster],6.01382e-78,684.0,234,18
1252,8867,gnl|BL_ORD_ID|8867,gi|7299006|gb|AAF54208.1| (AE003678) CG9630 gene product [Drosophila melanogaster],1.13258e-82,683.0,262,33
297,8851,gnl|BL_ORD_ID|8851,gi|7298989|gb|AAF54192.1| (AE003677) CG7878 gene product [Drosophila melanogaster],2.44824e-78,682.0,267,41
511,12321,gnl|BL_ORD_ID|12321,gi|7304081|gb|AAF59119.1| (AE003838) BcDNA:GM05306 gene product [Drosophila melanogaster],3.30202e-80,676.0,210,8
1862,8083,gnl|BL_ORD_ID|8083,gi|7298204|gb|AAF53438.1| (AE003646) vas gene product [Drosophila melanogaster],1.51803e-78,659.0,241,32
1702,8880,gnl|BL_ORD_ID|8880,gi|7299019|gb|AAF54221.1| (AE003678) CG7483 gene product [Drosophila melanogaster],3.67466e-81,651.0,219,8
246,178,gnl|BL_ORD_ID|178,gi|7290175|gb|AAF45638.1| (AE003421) sta gene product [Drosophila melanogaster],7.73061e-85,651.0,148,1
1863,8327,gnl|BL_ORD_ID|8327,gi|7298459|gb|AAF53680.1| (AE003659) CG10333 gene product [Drosophila melanogaster],6.53143e-76,649.0,215,41
1301,178,gnl|BL_ORD_ID|178,gi|7290175|gb|AAF45638.1| (AE003421) sta gene product [Drosophila melanogaster],2.81953e-84,647.0,147,1
1286,11997,gnl|BL_ORD_ID|11997,gi|10728157|gb|AAF57313.2| (AE003785) CG12792 gene product [Drosophila melanogaster],3.1672e-79,647.0,238,26
1502,6897,gnl|BL_ORD_ID|6897,gi|7296990|gb|AAF52261.1| (AE003610) Hel25E gene product [Drosophila melanogaster],6.33103e-81,647.0,223,6
196,6954,gnl|BL_ORD_ID|6954,gi|7297048|gb|AAF52317.1| (AE003612) eIF-4a gene product [Drosophila melanogaster],1.02253e-79,644.0,235,14
1386,2611,gnl|BL_ORD_ID|2611,gi|7292603|gb|AAF48002.1| (AE003485) Gtp-bp gene product [Drosophila melanogaster],2.18422e-75,643.0,200,25
298,8327,gnl|BL_ORD_ID|8327,gi|7298459|gb|AAF53680.1| (AE003659) CG10333 gene product [Drosophila melanogaster],5.69566e-72,642.0,236,64
512,8327,gnl|BL_ORD_ID|8327,gi|7298459|gb|AAF53680.1| (AE003659) CG10333 gene product [Drosophila melanogaster],4.99176e-75,641.0,216,36
835,3173,gnl|BL_ORD_ID|3173,gi|7293169|gb|AAF48553.1| (AE003500) CG9177 gene product [alt 1] [Drosophila melanogaster],5.27626e-79,638.0,242,36
834,3174,gnl|BL_ORD_ID|3174,gi|7293170|gb|AAF48554.1| (AE003500) CG9177 gene product [alt 2] [Drosophila melanogaster],5.27626e-79,638.0,242,36
1254,3346,gnl|BL_ORD_ID|3346,gi|7293348|gb|AAF48727.1| (AE003505) BcDNA:GH02833 gene product [Drosophila melanogaster],2.03113e-73,636.0,284,105
1818,8867,gnl|BL_ORD_ID|8867,gi|7299006|gb|AAF54208.1| (AE003678) CG9630 gene product [Drosophila melanogaster],3.48063e-73,636.0,258,39
1742,6897,gnl|BL_ORD_ID|6897,gi|7296990|gb|AAF52261.1| (AE003610) Hel25E gene product [Drosophila melanogaster],1.90144e-77,633.0,223,10
513,4333,gnl|BL_ORD_ID|4333,gi|7294797|gb|AAF50131.1| (AE003547) CG6418 gene product [alt 2] [Drosophila melanogaster],1.70302e-73,629.0,212,11
1703,7524,gnl|BL_ORD_ID|7524,gi|7297629|gb|AAF52881.1| (AE003628) me31B gene product [Drosophila melanogaster],6.99546e-77,627.0,219,15
1785,4695,gnl|BL_ORD_ID|4695,gi|7294422|gb|AAF49767.1| (AE003536) Hsc70Cb gene product [alt 1] [Drosophila melanogaster],9.63691e-72,626.0,228,7
1239,4696,gnl|BL_ORD_ID|4696,gi|7294421|gb|AAF49766.1| (AE003536) Hsc70Cb gene product [alt 2] [Drosophila melanogaster],1.13356e-71,626.0,228,7
1240,4695,gnl|BL_ORD_ID|4695,gi|7294422|gb|AAF49767.1| (AE003536) Hsc70Cb gene product [alt 1] [Drosophila melanogaster],1.13356e-71,626.0,228,7
1784,4696,gnl|BL_ORD_ID|4696,gi|7294421|gb|AAF49766.1| (AE003536) Hsc70Cb gene product [alt 2] [Drosophila melanogaster],9.63691e-72,626.0,228,7
1389,8083,gnl|BL_ORD_ID|8083,gi|7298204|gb|AAF53438.1| (AE003646) vas gene product [Drosophila melanogaster],1.08562e-72,624.0,228,21
96,1955,gnl|BL_ORD_ID|1955,gi|7291960|gb|AAF47376.1| (AE003468) CG6994 gene product [Drosophila melanogaster],2.83388e-68,623.0,206,8
514,8919,gnl|BL_ORD_ID|8919,gi|7299061|gb|AAF54262.1| (AE003679) CG9748 gene product [Drosophila melanogaster],2.31881e-72,622.0,210,26
1253,8611,gnl|BL_ORD_ID|8611,gi|7298752|gb|AAF53963.1| (AE003669) CG9253 gene product [Drosophila melanogaster],1.80184e-74,619.0,240,27
1382,1730,gnl|BL_ORD_ID|1730,gi|7291730|gb|AAF47152.1| (AE003462) CG3195 gene product [Drosophila melanogaster],1.37705e-83,618.0,137,0
1383,1730,gnl|BL_ORD_ID|1730,gi|7291730|gb|AAF47152.1| (AE003462) CG3195 gene product [Drosophila melanogaster],1.37705e-83,618.0,137,0
364,4462,gnl|BL_ORD_ID|4462,gi|7294664|gb|AAF50002.1| (AE003543) CG7283 gene product [Drosophila melanogaster],2.49397e-81,615.0,168,1
428,6897,gnl|BL_ORD_ID|6897,gi|7296990|gb|AAF52261.1| (AE003610) Hel25E gene product [Drosophila melanogaster],3.37726e-76,615.0,215,8
1105,4462,gnl|BL_ORD_ID|4462,gi|7294664|gb|AAF50002.1| (AE003543) CG7283 gene product [Drosophila melanogaster],2.49397e-81,615.0,168,1
466,6897,gnl|BL_ORD_ID|6897,gi|7296990|gb|AAF52261.1| (AE003610) Hel25E gene product [Drosophila melanogaster],3.37726e-76,615.0,215,8
235,2870,gnl|BL_ORD_ID|2870,gi|7292861|gb|AAF48253.1| (AE003492) Jafrac1 gene product [alt 1] [Drosophila melanogaster],5.52373e-82,614.0,144,0
234,2871,gnl|BL_ORD_ID|2871,gi|7292862|gb|AAF48254.1| (AE003492) Jafrac1 gene product [alt 2] [Drosophila melanogaster],5.52373e-82,614.0,144,0
1498,7289,gnl|BL_ORD_ID|7289,gi|7297390|gb|AAF52649.1| (AE003621) RpS13 gene product [Drosophila melanogaster],1.14533e-82,609.0,131,0
1864,6528,gnl|BL_ORD_ID|6528,gi|7296891|gb|AAF52165.1| (AE003607) abs gene product [Drosophila melanogaster],2.69662e-71,607.0,217,23
1187,739,gnl|BL_ORD_ID|739,gi|7290730|gb|AAF46176.1| (AE003438) CG14443 gene product [Drosophila melanogaster],9.318e-73,606.0,228,18
1395,3064,gnl|BL_ORD_ID|3064,gi|7293060|gb|AAF48446.1| (AE003498) CG6227 gene product [Drosophila melanogaster],1.07395e-67,606.0,223,32
423,7511,gnl|BL_ORD_ID|7511,gi|7297615|gb|AAF52868.1| (AE003627) RpL7 gene product [Drosophila melanogaster],1.89582e-78,601.0,174,8
1865,12321,gnl|BL_ORD_ID|12321,gi|7304081|gb|AAF59119.1| (AE003838) BcDNA:GM05306 gene product [Drosophila melanogaster],7.34803e-69,598.0,217,17
1704,6954,gnl|BL_ORD_ID|6954,gi|7297048|gb|AAF52317.1| (AE003612) eIF-4a gene product [Drosophila melanogaster],1.94022e-73,598.0,222,8
515,859,gnl|BL_ORD_ID|859,gi|7290853|gb|AAF46295.1| (AE003442) CG10777 gene product [Drosophila melanogaster],3.65462e-68,597.0,220,24
1099,7511,gnl|BL_ORD_ID|7511,gi|7297615|gb|AAF52868.1| (AE003627) RpL7 gene product [Drosophila melanogaster],9.20556e-78,596.0,169,7
1390,6528,gnl|BL_ORD_ID|6528,gi|7296891|gb|AAF52165.1| (AE003607) abs gene product [Drosophila melanogaster],1.21576e-68,593.0,225,14
